fecha,hora,latitud,longitud,profundidad,magnitud,provincia,sentido
11/11/2024,01:45:00,110 Km,2.7,-31.580,-69.380,SAN JUAN,No
10/11/2024,20:20:00,114 Km,3.0,-31.594,-69.707,SAN JUAN,No
10/11/2024,19:10:00,118 Km,5.0,-29.773,-69.402,SAN JUAN,No
10/11/2024,19:08:00,101 Km,2.5,-31.246,-68.552,SAN JUAN,No
10/11/2024,17:21:00,10 Km,2.8,-31.297,-67.980,SAN JUAN,No
10/11/2024,15:58:00,232 Km,3.4,-23.531,-66.719,JUJUY,No
10/11/2024,14:21:00,111 Km,3.2,-31.615,-67.310,SAN JUAN,No
10/11/2024,11:26:00,234 Km,2.9,-23.085,-66.568,JUJUY,No
10/11/2024,07:59:00,114 Km,2.7,-28.697,-69.005,LA RIOJA,No
10/11/2024,05:17:00,99 Km,2.6,-31.213,-68.438,SAN JUAN,No
10/11/2024,02:50:00,122 Km,3.3,-31.668,-67.281,SAN JUAN,No
10/11/2024,02:05:00,125 Km,3.3,-31.593,-69.474,SAN JUAN,No
10/11/2024,00:44:00,247 Km,3.7,-22.853,-66.379,JUJUY,No
09/11/2024,21:11:00,131 Km,2.8,-27.814,-68.958,LA RIOJA,No
09/11/2024,15:48:00,100 Km,2.6,-31.271,-68.562,SAN JUAN,No
09/11/2024,12:43:00,118 Km,3.1,-31.511,-69.313,SAN JUAN,No
09/11/2024,08:37:00,105 Km,2.9,-31.255,-68.622,SAN JUAN,No
09/11/2024,08:15:00,227 Km,3.5,-23.916,-66.736,JUJUY,No
09/11/2024,03:07:00,107 Km,3.0,-31.192,-68.924,SAN JUAN,No
09/11/2024,01:58:00,100 Km,3.0,-31.214,-68.420,SAN JUAN,No
09/11/2024,01:52:00,8 Km,2.5,-32.066,-69.137,MENDOZA,No
09/11/2024,01:13:00,107 Km,3.1,-31.479,-69.043,SAN JUAN,No
09/11/2024,00:23:00,121 Km,3.0,-31.961,-69.544,SAN JUAN,No
09/11/2024,00:13:00,127 Km,2.7,-29.125,-67.342,LA RIOJA,No
